Colorado All Grades All Formulations Retail Gasoline Prices Weekly
https://www.eia.gov/opendata/v1/qb.php?category=240850&sdid=PET.EMM_EPM0_PTE_SCO_DPG.W
21:27:09 GMT-0700 (Pacific Daylight Time)
Source: U.S. Energy Information Administration
Week of,Series ID: PET.EMM_EPM0_PTE_SCO_DPG.W Dollars per Gallon
10/2/2006,2.59
09/25/2006,2.696
09/18/2006,2.78
09/11/2006,2.878
09/4/2006,2.936
08/28/2006,2.998
08/21/2006,3.038
08/14/2006,3.068
08/7/2006,3.072
07/31/2006,3.019
07/24/2006,2.99
07/17/2006,2.97
07/10/2006,2.966
07/3/2006,2.941
06/26/2006,2.836
06/19/2006,2.852
06/12/2006,2.865
06/5/2006,2.818
05/29/2006,2.825
05/22/2006,2.838
05/15/2006,2.862
05/8/2006,2.86
05/1/2006,2.872
04/24/2006,2.867
04/17/2006,2.753
04/10/2006,2.656
04/3/2006,2.559
03/27/2006,2.512
03/20/2006,2.523
03/13/2006,2.369
03/6/2006,2.329
02/27/2006,2.264
02/20/2006,2.227
02/13/2006,2.258
02/6/2006,2.285
01/30/2006,2.295
01/23/2006,2.282
01/16/2006,2.292
01/9/2006,2.32
01/2/2006,2.208
12/26/2005,2.19
12/19/2005,2.218
12/12/2005,2.189
12/5/2005,2.184
11/28/2005,2.252
11/21/2005,2.319
11/14/2005,2.415
11/7/2005,2.508
10/31/2005,2.625
10/24/2005,2.741
10/17/2005,2.828
10/10/2005,2.888
10/3/2005,2.948
09/26/2005,2.908
09/19/2005,2.927
09/12/2005,3.037
09/5/2005,3.081
08/29/2005,2.652
08/22/2005,2.639
08/15/2005,2.499
08/8/2005,2.339
08/1/2005,2.281
07/25/2005,2.296
07/18/2005,2.316
07/11/2005,2.311
07/4/2005,2.234
06/27/2005,2.178
06/20/2005,2.135
06/13/2005,2.137
06/6/2005,2.126
05/30/2005,2.132
05/23/2005,2.162
05/16/2005,2.202
05/9/2005,2.231
05/2/2005,2.254
04/25/2005,2.26
04/18/2005,2.287
04/11/2005,2.313
04/4/2005,2.233
03/28/2005,2.208
03/21/2005,2.137
03/14/2005,2.116
03/7/2005,2.034
02/28/2005,1.938
02/21/2005,1.916
02/14/2005,1.867
02/7/2005,1.875
01/31/2005,1.874
01/24/2005,1.819
01/17/2005,1.787
01/10/2005,1.77
01/3/2005,1.797
12/27/2004,1.827
12/20/2004,1.842
12/13/2004,1.869
12/6/2004,1.914
11/29/2004,1.938
11/22/2004,1.948
11/15/2004,1.968
11/8/2004,1.99
11/1/2004,2.004
10/25/2004,2.015
10/18/2004,2.003
10/11/2004,1.977
10/4/2004,1.971
09/27/2004,1.932
09/20/2004,1.885
09/13/2004,1.872
09/6/2004,1.882
08/30/2004,1.901
08/23/2004,1.908
08/16/2004,1.9
08/9/2004,1.917
08/2/2004,1.931
07/26/2004,1.949
07/19/2004,1.961
07/12/2004,1.925
07/5/2004,1.911
06/28/2004,1.935
06/21/2004,1.958
06/14/2004,1.998
06/7/2004,2.028
05/31/2004,2.04
05/24/2004,2.043
05/17/2004,2.003
05/10/2004,1.976
05/3/2004,1.878
04/26/2004,1.874
04/19/2004,1.884
04/12/2004,1.813
04/5/2004,1.81
03/29/2004,1.803
03/22/2004,1.744
03/15/2004,1.729
03/8/2004,1.718
03/1/2004,1.631
02/23/2004,1.612
02/16/2004,1.595
02/9/2004,1.573
02/2/2004,1.577
01/26/2004,1.591
01/19/2004,1.549
01/12/2004,1.525
01/5/2004,1.485
12/29/2003,1.497
12/22/2003,1.5
12/15/2003,1.432
12/8/2003,1.445
12/1/2003,1.469
11/24/2003,1.499
11/17/2003,1.51
11/10/2003,1.531
11/3/2003,1.566
10/27/2003,1.587
10/20/2003,1.544
10/13/2003,1.541
10/6/2003,1.568
09/29/2003,1.612
09/22/2003,1.668
09/15/2003,1.713
09/8/2003,1.736
09/1/2003,1.752
08/25/2003,1.691
08/18/2003,1.65
08/11/2003,1.62
08/4/2003,1.581
07/28/2003,1.57
07/21/2003,1.517
07/14/2003,1.498
07/7/2003,1.501
06/30/2003,1.51
06/23/2003,1.532
06/16/2003,1.539
06/9/2003,1.486
06/2/2003,1.496
05/26/2003,1.518
05/19/2003,1.526
05/12/2003,1.496
05/5/2003,1.514
04/28/2003,1.547
04/21/2003,1.562
04/14/2003,1.598
04/7/2003,1.639
03/31/2003,1.666
03/24/2003,1.693
03/17/2003,1.701
03/10/2003,1.683
03/3/2003,1.653
02/24/2003,1.656
02/17/2003,1.663
02/10/2003,1.615
02/3/2003,1.519
01/27/2003,1.485
01/20/2003,1.495
01/13/2003,1.499
01/6/2003,1.5
12/30/2002,1.439
12/23/2002,1.411
12/16/2002,1.402
12/9/2002,1.426
12/2/2002,1.452
11/25/2002,1.47
11/18/2002,1.491
11/11/2002,1.507
11/4/2002,1.52
10/28/2002,1.523
10/21/2002,1.517
10/14/2002,1.517
10/7/2002,1.524
09/30/2002,1.472
09/23/2002,1.455
09/16/2002,1.453
09/9/2002,1.46
09/2/2002,1.465
08/26/2002,1.476
08/19/2002,1.48
08/12/2002,1.497
08/5/2002,1.507
07/29/2002,1.511
07/22/2002,1.498
07/15/2002,1.436
07/8/2002,1.442
07/1/2002,1.431
06/24/2002,1.386
06/17/2002,1.39
06/10/2002,1.4
06/3/2002,1.411
05/27/2002,1.414
05/20/2002,1.42
05/13/2002,1.426
05/6/2002,1.44
04/29/2002,1.445
04/22/2002,1.42
04/15/2002,1.42
04/8/2002,1.413
04/1/2002,1.403
03/25/2002,1.393
03/18/2002,1.294
03/11/2002,1.223
03/4/2002,1.187
02/25/2002,1.192
02/18/2002,1.137
02/11/2002,1.139
02/4/2002,1.146
01/28/2002,1.153
01/21/2002,1.163
01/14/2002,1.169
01/7/2002,1.112
12/31/2001,1.112
12/24/2001,1.104
12/17/2001,1.081
12/10/2001,1.099
12/3/2001,1.115
11/26/2001,1.161
11/19/2001,1.192
11/12/2001,1.229
11/5/2001,1.277
10/29/2001,1.345
10/22/2001,1.403
10/15/2001,1.477
10/8/2001,1.527
10/1/2001,1.579
09/24/2001,1.635
09/17/2001,1.664
09/10/2001,1.675
09/3/2001,1.701
08/27/2001,1.628
08/20/2001,1.49
08/13/2001,1.382
08/6/2001,1.389
07/30/2001,1.426
07/23/2001,1.481
07/16/2001,1.544
07/9/2001,1.598
07/2/2001,1.652
06/25/2001,1.705
06/18/2001,1.757
06/11/2001,1.785
06/4/2001,1.816
05/28/2001,1.802
05/21/2001,1.783
05/14/2001,1.791
05/7/2001,1.78
04/30/2001,1.683
04/23/2001,1.662
04/16/2001,1.58
04/9/2001,1.549
04/2/2001,1.532
03/26/2001,1.473
03/19/2001,1.461
03/12/2001,1.471
03/5/2001,1.483
02/26/2001,1.502
02/19/2001,1.511
02/12/2001,1.516
02/5/2001,1.519
01/29/2001,1.5
01/22/2001,1.493
01/15/2001,1.475
01/8/2001,1.457
01/1/2001,1.467
12/25/2000,1.481
12/18/2000,1.509
12/11/2000,1.541
12/4/2000,1.576
11/27/2000,1.583
11/20/2000,1.592
11/13/2000,1.597
11/6/2000,1.62
10/30/2000,1.634
10/23/2000,1.616
10/16/2000,1.593
10/9/2000,1.596
10/2/2000,1.608
09/25/2000,1.626
09/18/2000,1.636
09/11/2000,1.624
09/4/2000,1.553
08/28/2000,1.557
08/21/2000,1.563
08/14/2000,1.569
08/7/2000,1.597
07/31/2000,1.625
07/24/2000,1.646
07/17/2000,1.669
07/10/2000,1.686
07/3/2000,1.698
06/26/2000,1.709
06/19/2000,1.675
06/12/2000,1.6
06/5/2000,1.558
